id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1343999550487408649,1343999550487408649,2020-12-29 22:17:17 Türkiye Standart Saati,2020-12-29,22:17:17,+0300,1116376072864641026,naciyekaplan13,Naciye Kaplan,,#asgariucret 👇👇  https://t.co/IVi494YYae,und,[],[],['https://pbs.twimg.com/media/EqbYd8WXEAAsZZu.jpg'],6,7,22,['asgariucret'],[],https://twitter.com/NaciyeKaplan13/status/1343999550487408649,False,,1,https://pbs.twimg.com/media/EqbYd8WXEAAsZZu.jpg,,,,,,,[],,,,
1343962582214959105,1343962582214959105,2020-12-29 19:50:23 Türkiye Standart Saati,2020-12-29,19:50:23,+0300,1249691032893227008,sahinalpbulent,Bülent Şahinalp,,"Son 1 yıl içerisinde, temel gıda ürünleri olan; -yumurta %76,  -domates %68,  -kuru soğan %38  -mercimek %67,  -ayçiçek yağı % 43  -et % 37,  -un ve ekmek ort. %25 zamlanırken, #asgariucret %21,5 artış ile 2.825,90 TL oldu.",tr,[],[],[],2,13,27,['asgariucret'],[],https://twitter.com/SahinalpBulent/status/1343962582214959105,False,,0,,,,,,,,[],,,,
1343928518200205314,1343928518200205314,2020-12-29 17:35:02 Türkiye Standart Saati,2020-12-29,17:35:02,+0300,2251578288,rehber_gazetesi,Rehber Gazetesi,,30.12.2020 Manşetimiz... #AylinSözer #asgariucret #VETO #çinaşısı #IrkçıSedaAkgül #2020yeBirSözBırak @btmnbld @batmanvaliligi @ZehraZumrutS @suleymansoylu @hcemal571 @haksiad72  https://t.co/0PBGPKDgRl,tr,"[{'screen_name': 'btmnbld', 'name': 'batman belediyesi', 'id': '558439047'}, {'screen_name': 'batmanvaliligi', 'name': 'batman valiliği', 'id': '313190388'}, {'screen_name': 'zehrazumruts', 'name': 'zehra zümrüt selçuk', 'id': '1016593091480948736'}, {'screen_name': 'suleymansoylu', 'name': 'süleyman soylu | maske😷 mesafe↔️ temizlik🧼', 'id': '18971997'}, {'screen_name': 'hcemal571', 'name': 'cemal  çetiz', 'id': '1606696388'}, {'screen_name': 'haksiad72', 'name': 'haksi̇ad batman', 'id': '909694652923641856'}]",[],['https://pbs.twimg.com/media/EqaXhmmWMAQ9wjK.jpg'],3,26,46,"['aylinsözer', 'asgariucret', 'veto', 'çinaşısı', 'irkçısedaakgül', '2020yebirsözbırak']",[],https://twitter.com/Rehber_Gazetesi/status/1343928518200205314,False,,1,https://pbs.twimg.com/media/EqaXhmmWMAQ9wjK.jpg,,,,,,,[],,,,
1343910287066468353,1343910287066468353,2020-12-29 16:22:35 Türkiye Standart Saati,2020-12-29,16:22:35,+0300,1055736250974515200,skara_5734,Selahattin Kara,,"Almanya da en düşük ücret yaklaşık 1500 €, saat ücreti 9,35€. Yani bir Alman vatandaşı asgari ücretle 1500 şişe litrelik yağ alabilirken, Türkiye'de asgari ücret 2825 lira oldu. Biz burda o parayla ancak 190 şişe litrelik yağ alabiliyoruz,   #asgariucret #yağ",tr,[],[],[],0,19,28,"['asgariucret', 'yağ']",[],https://twitter.com/Skara_5734/status/1343910287066468353,False,,0,,,,,,,,[],,,,
1343903949993213952,1343903949993213952,2020-12-29 15:57:24 Türkiye Standart Saati,2020-12-29,15:57:24,+0300,1258201709060423680,medyasmehmet,Mehmet Sağlam - Sakarya Medyası,, https://t.co/VDiyO0nAZx #2021asgariücret #asgariucret #asgariucret2021 #AsgariUEcret2825TL #btp #hüseyinbaşhaberleri #btphaberleri #mem #milliekonomimodeli #haydarbaş #ekonomimasalıbitti  https://t.co/cPe4oJYatz,und,[],['https://haberturkce.com/bu-modelle-asgari-ucreti-patron-degil-devlet-verecek-H1901155.htm'],['https://pbs.twimg.com/media/EqaAq5JXMAEDrXE.jpg'],1,12,33,"['2021asgariücret', 'asgariucret', 'asgariucret2021', 'asgariuecret2825tl', 'btp', 'hüseyinbaşhaberleri', 'btphaberleri', 'mem', 'milliekonomimodeli', 'haydarbaş', 'ekonomimasalıbitti']",[],https://twitter.com/MedyasMehmet/status/1343903949993213952,False,,1,https://pbs.twimg.com/media/EqaAq5JXMAEDrXE.jpg,,,,,,,[],,,,
1343890288763396096,1343890288763396096,2020-12-29 15:03:07 Türkiye Standart Saati,2020-12-29,15:03:07,+0300,1013829169296433152,ille_vatan1919,L a t i f e 🇹🇷☀️🇹🇷 H a t u n,,Ben anladım... Bunlar bizim gelmişimizi geçmişimizi silecekler... Yani eğer biz onları silmezsek...  Tabi ki Tarihten....!!!!  #asgariucret,tr,[],[],[],7,8,119,['asgariucret'],[],https://twitter.com/ille_vatan1919/status/1343890288763396096,False,,0,,,,,,,,[],,,,
1343889114454761472,1343889114454761472,2020-12-29 14:58:27 Türkiye Standart Saati,2020-12-29,14:58:27,+0300,3878831483,hergelepostasi,Hergele Postası #2,,"Yeni bütçeye göre, Cumhurbaşkanlığı her 22 saniyede bir asgari ücret, Diyanet İşleri Başkanlığı ise 7 saniyede bir asgari ücret harcayacak.   Dün çayy ocağında çalışan 4 çocuk babası yurttaş, kendini asarak yaşamını sonlandırmıştı.  #asgariucret  #Gecinemiyoruz  https://t.co/rS7VV7r1YV",tr,[],[],"['https://pbs.twimg.com/media/EqZ0BlBXMAIrHdy.jpg', 'https://pbs.twimg.com/media/EqZ0BvDXAAAB0yh.jpg']",6,106,348,"['asgariucret', 'gecinemiyoruz']",[],https://twitter.com/HergelePostasi/status/1343889114454761472,False,,1,https://pbs.twimg.com/media/EqZ0BlBXMAIrHdy.jpg,,,,,,,[],,,,
1343869191271673856,1343869191271673856,2020-12-29 13:39:17 Türkiye Standart Saati,2020-12-29,13:39:17,+0300,875800815688134656,ozge_erdinc,Özge Nur Erdinç,,2020 asgari ücret : 386 dolar  2021 asgari ücret : 376 dolar  Ama öyle demeyin zam geldi. #asgariucret  (Not:Dolarla maaş almıyorum soracak olanlara belirteyim),tr,[],[],[],4,8,35,['asgariucret'],[],https://twitter.com/ozge_erdinc/status/1343869191271673856,False,,0,,,,,,,,[],,,,
1343863367715454976,1343863367715454976,2020-12-29 13:16:09 Türkiye Standart Saati,2020-12-29,13:16:09,+0300,1588653942,adbaanalytics,Adba Analytics,,"Twitter'da #dünneoldu en çok konuşulan konular; 1. #BirMilyonİşsizÖğretmen 2. #SağlıkçıYokSayılamaz 3. #asgariucret 4. #UygurlarİadeEdilemez 5. #AlNaz  #EceYaşar, #ÜnalKaraman, #CihangirCeyhan, #SözleşmeliyeKadroMüjdesi, #DilanÇiçekDeniz  @tnrolmez @eceysr @ceyhangir @dilandeniiz  https://t.co/EQl0JvEzEF",tr,"[{'screen_name': 'tnrolmez', 'name': 'taner ölmez', 'id': '356520954'}, {'screen_name': 'eceysr', 'name': 'ece yaşar', 'id': '110258960'}, {'screen_name': 'ceyhangir', 'name': 'cihangir ceyhan', 'id': '3400596706'}, {'screen_name': 'dilandeniiz', 'name': 'dilan çiçek deniz', 'id': '176810504'}]",[],['https://pbs.twimg.com/media/EqZbpRlXIAI_9tM.jpg'],60,60,194,"['dünneoldu', 'birmilyoni̇şsizöğretmen', 'sağlıkçıyoksayılamaz', 'asgariucret', 'uygurlari̇adeedilemez', 'alnaz', 'eceyaşar', 'ünalkaraman', 'cihangirceyhan', 'sözleşmeliyekadromüjdesi', 'dilançiçekdeniz']",[],https://twitter.com/adbaanalytics/status/1343863367715454976,False,,1,https://pbs.twimg.com/media/EqZbpRlXIAI_9tM.jpg,,,,,,,[],,,,
1343858324824059904,1343858324824059904,2020-12-29 12:56:06 Türkiye Standart Saati,2020-12-29,12:56:06,+0300,1321057505678708736,denizorhan0,Deniz 🌊🤩,,"""Eğer bir gün duyarsanız, Tayyip Erdoğan çok zengin olmuş, bilin ki haram yemişimdir""  #Anonymous #SALI #AsgariUEcret3100TL #asgariucret  https://t.co/bSbkubWYZh",tr,[],[],"['https://pbs.twimg.com/media/EqZYBOuXYAMmXu4.jpg', 'https://pbs.twimg.com/media/EqZYBihXAAE0P2u.jpg']",7,16,55,"['anonymous', 'sali', 'asgariuecret3100tl', 'asgariucret']",[],https://twitter.com/DenizOrhan0/status/1343858324824059904,False,,1,https://pbs.twimg.com/media/EqZYBOuXYAMmXu4.jpg,,,,,,,[],,,,
